size,planner,makespan
16,HEFT,534744.4686883042
16,HEFT,543856.3118392325
16,HEFT,529073.512495637
16,HEFT,537257.6436418683
16,HEFT,531266.2877000866
16,HEFT,538095.9050802357
16,HEFT,528577.998246987
16,HEFT,528997.1308432362
16,HEFT,529037.5150978537
16,HEFT,529855.2496195163
16,HEFT,522966.57642631204
16,HEFT,526501.7482038386
16,HEFT,525074.477417312
16,HEFT,524711.3984044286
16,HEFT,529301.8045934789
16,HEFT,524763.8033094151
16,HEFT,535221.2506522988
16,HEFT,525782.6922451612
16,HEFT,528456.8721805502
16,HEFT,531608.466675026
16,HEFT,543976.4935996892
16,HEFT,538409.711808541
16,HEFT,526676.9523622153
16,HEFT,531120.6148357148
16,HEFT,529714.3105195685
16,HEFT,534033.7065722357
16,HEFT,532257.0346154196
16,HEFT,532074.2852939491
16,HEFT,534512.7408874969
16,HEFT,527584.0504087666
32,HEFT,273519.20195451664
32,HEFT,272347.90019440546
32,HEFT,270628.26141889236
32,HEFT,279012.34428517113
32,HEFT,267809.3536400438
32,HEFT,275677.11696582
32,HEFT,270136.9018334534
32,HEFT,276195.691069116
32,HEFT,268722.9546813544
32,HEFT,267646.4815742615
32,HEFT,267664.0662503813
32,HEFT,270770.1560368464
32,HEFT,271511.5085938941
32,HEFT,267891.47261067486
32,HEFT,270767.26575823803
32,HEFT,278878.05876503314
32,HEFT,272805.8368606685
32,HEFT,270763.4806659009
32,HEFT,272367.3625788861
32,HEFT,266902.2089401947
32,HEFT,267773.4600878149
32,HEFT,267646.8299233869
32,HEFT,284380.8975679872
32,HEFT,268251.01412798604
32,HEFT,277404.93580441404
32,HEFT,267555.64309779444
32,HEFT,267467.54382550955
32,HEFT,273419.0781969588
32,HEFT,269132.6943166477
32,HEFT,268864.7107888559
32,HEFT,275114.9176895875
32,HEFT,268013.2351449433
32,HEFT,269168.703444653
32,HEFT,276682.4085093787
32,HEFT,265376.07249424595
32,HEFT,274041.0450013691
32,HEFT,267110.86560621444
32,HEFT,265237.4019155721
32,HEFT,271428.7696801313
32,HEFT,273938.3678669398
32,HEFT,274107.5992177412
32,HEFT,268888.51525270764
32,HEFT,267836.1117207484
32,HEFT,273862.11434765265
32,HEFT,270464.65639257844
32,HEFT,284832.50626341224
32,HEFT,269233.7513487253
32,HEFT,266031.7862991475
32,HEFT,269105.9699529841
32,HEFT,269165.24851522053
32,HEFT,270485.5103028145
32,HEFT,268556.58990401553
32,HEFT,266877.88629310456
32,HEFT,267619.06533185486
32,HEFT,280053.58539381204
32,HEFT,280565.10775183915
32,HEFT,267803.13963062386
32,HEFT,267998.24837679946
32,HEFT,274792.7099987534
32,HEFT,282312.4733160318
32,HEFT,275294.9087705056
32,HEFT,276581.0267430903
32,HEFT,273211.1394435491
32,HEFT,283497.7699744259
32,HEFT,268405.5964323715
32,HEFT,264608.63818520645
