,size,planner,makespan,reactive,expected,mpn_snt,rect_snt
1019,16,HEFT,312100.8815052534,312100.8815052534,300000.0,12100.881505253377,12100.881505253377
1020,16,HEFT,321896.2909197507,320934.5012601815,300000.0,21896.290919750696,20934.50126018148
1021,16,HEFT,311016.0621029688,311016.0621029688,300000.0,11016.062102968805,11016.062102968805
1022,16,HEFT,313219.4641534998,308121.6888254617,300000.0,13219.464153499806,8121.688825461722
1023,16,HEFT,310128.704144719,309891.28764461057,300000.0,10128.704144719,9891.287644610566
1024,16,HEFT,304897.6546238074,304437.7100392072,300000.0,4897.654623807408,4437.710039207188
1025,16,HEFT,321688.21332875936,321688.21332875936,300000.0,21688.21332875936,21688.21332875936
1026,16,HEFT,313015.7863454222,313015.7863454222,300000.0,13015.78634542221,13015.78634542221
1027,16,HEFT,306779.3198394956,302322.8515080974,300000.0,6779.319839495583,2322.851508097374
1028,16,HEFT,315881.34648090194,314187.42337795533,300000.0,15881.346480901935,14187.423377955332
1029,16,HEFT,307407.6223516612,306296.6546620376,300000.0,7407.622351661208,6296.654662037618
1030,16,HEFT,319453.3937954152,315612.79746682174,300000.0,19453.393795415177,15612.797466821736
1031,16,HEFT,329071.75955504936,329071.75955504936,300000.0,29071.75955504936,29071.75955504936
1032,16,HEFT,316896.8323577511,315062.8931954737,300000.0,16896.832357751093,15062.893195473704
1033,16,HEFT,311747.1322420084,305431.20091509377,300000.0,11747.132242008403,5431.200915093825
1034,16,HEFT,305556.6084231335,304889.0494541769,300000.0,5556.608423133497,4889.049454176858
1035,16,HEFT,310608.56037567393,310608.56037567393,300000.0,10608.560375673873,10608.560375673873
1036,16,HEFT,314041.7627013152,314041.7627013152,300000.0,14041.762701315225,14041.762701315225
1037,16,HEFT,314418.4809696787,314418.4809696787,300000.0,14418.480969678729,14418.480969678729
1038,16,HEFT,320487.76837299694,320487.76837299694,300000.0,20487.768372996943,20487.768372996943
1039,16,HEFT,322079.77597228065,315716.8320968093,300000.0,22079.775972280648,15716.832096809287
1040,16,HEFT,309532.0474326273,309532.0474326273,300000.0,9532.047432627354,9532.047432627354
1041,16,HEFT,308306.11990633945,297943.7825830316,300000.0,8306.119906339445,-2056.2174169684295
1042,16,HEFT,309284.4946687852,309284.4946687852,300000.0,9284.494668785192,9284.494668785192
1043,16,HEFT,307501.95824786625,307143.13270203304,300000.0,7501.958247866249,7143.1327020330355
1044,16,HEFT,304798.422585826,304798.422585826,300000.0,4798.42258582596,4798.42258582596
1045,16,HEFT,308654.87792849314,308654.87792849314,300000.0,8654.877928493137,8654.877928493137
1046,16,HEFT,320528.3076272143,320528.3076272143,300000.0,20528.307627214293,20528.307627214293
1047,16,HEFT,310558.4410027269,308133.8432339129,300000.0,10558.441002726904,8133.84323391295
1048,16,HEFT,317107.5932703406,317107.5932703406,300000.0,17107.593270340585,17107.593270340585
1049,16,HEFT,326203.60405708465,320451.5876834823,300000.0,26203.604057084653,20451.587683482332
1050,16,HEFT,310236.5345549935,307810.5799730152,300000.0,10236.5345549935,7810.579973015178
1051,16,HEFT,315593.5324608844,315593.5324608844,300000.0,15593.532460884366,15593.532460884366
1052,16,HEFT,321100.3530016716,316272.5756164654,300000.0,21100.35300167161,16272.575616465416
1053,16,HEFT,310823.99546485627,310672.5170717678,300000.0,10823.995464856329,10672.517071767828
1054,16,HEFT,309546.3375182177,309546.3375182177,300000.0,9546.337518217682,9546.337518217682
1055,16,HEFT,305497.75722217804,300786.63045928447,300000.0,5497.757222178043,786.6304592844681
1056,16,HEFT,302783.75780543603,302099.3750300253,300000.0,2783.757805436035,2099.3750300252577
1057,16,HEFT,307120.5124914621,306220.25237009244,300000.0,7120.512491462112,6220.252370092437
1058,16,HEFT,317438.330151697,317438.330151697,300000.0,17438.330151696984,17438.330151696984
1059,16,HEFT,306260.6267816251,300866.75124310364,300000.0,6260.626781625091,866.7512431036447
1060,16,HEFT,319263.7240772504,319263.7240772504,300000.0,19263.7240772504,19263.7240772504
1061,16,HEFT,311220.0210334087,311220.0210334087,300000.0,11220.0210334087,11220.0210334087
1062,16,HEFT,306162.8873524981,306162.8873524981,300000.0,6162.887352498074,6162.887352498074
1063,16,HEFT,322559.9108686959,322559.9108686959,300000.0,22559.91086869588,22559.91086869588
1064,16,HEFT,307584.3250267145,307584.3250267145,300000.0,7584.325026714477,7584.325026714477
1065,16,HEFT,312653.73221044627,311625.21377585945,300000.0,12653.732210446267,11625.213775859449
1066,16,HEFT,309919.3424167304,309562.5602450495,300000.0,9919.342416730418,9562.560245049477
1067,16,HEFT,317441.32692550315,314697.35806750983,300000.0,17441.32692550315,14697.358067509836
1068,16,HEFT,310085.4700253605,306267.9458086216,300000.0,10085.470025360468,6267.945808621589
1069,16,HEFT,314685.55575148127,309879.949907478,300000.0,14685.555751481266,9879.949907478003
1070,16,HEFT,332421.1761085605,332421.1761085605,300000.0,32421.17610856047,32421.17610856047
1071,16,HEFT,310899.0484051941,310106.96063414944,300000.0,10899.048405194073,10106.960634149378
1072,16,HEFT,326480.02805185725,326480.02805185725,300000.0,26480.02805185725,26480.02805185725
1073,16,HEFT,311566.77100383013,311566.77100383013,300000.0,11566.77100383013,11566.77100383013
1074,16,HEFT,313129.4700139673,313129.4700139673,300000.0,13129.470013967308,13129.470013967308
1075,16,HEFT,325132.8842723733,325132.8842723733,300000.0,25132.88427237328,25132.88427237328
1076,16,HEFT,310292.16122911155,306921.7322207578,300000.0,10292.161229111543,6921.732220757811
1077,16,HEFT,313807.82517265115,311978.3594975509,300000.0,13807.825172651152,11978.359497550877
1078,16,HEFT,300341.75792395504,300341.75792395504,300000.0,341.75792395503964,341.75792395503964
1079,16,HEFT,305113.9600238691,304259.96834550163,300000.0,5113.96002386912,4259.968345501635
1080,16,HEFT,316438.16714226943,316131.32100883464,300000.0,16438.167142269376,16131.32100883464
1081,16,HEFT,310285.6874809612,310285.6874809612,300000.0,10285.687480961204,10285.687480961204
1082,16,HEFT,307458.16265879717,302711.9585777016,300000.0,7458.1626587971705,2711.958577701531
1083,16,HEFT,307159.5000178376,305772.60980471823,300000.0,7159.500017837621,5772.609804718172
1084,16,HEFT,314355.457041619,314355.457041619,300000.0,14355.457041618996,14355.457041618996
1085,16,HEFT,327484.28675104026,322350.29509435536,300000.0,27484.286751040254,22350.295094355362
1086,16,HEFT,309306.17706338014,309306.17706338014,300000.0,9306.177063380135,9306.177063380135
1087,16,HEFT,326982.84476014413,324122.4720529907,300000.0,26982.844760144068,24122.472052990688
1088,16,HEFT,312138.47702801874,312138.47702801874,300000.0,12138.477028018679,12138.477028018679
1089,16,HEFT,309418.70395810064,309418.70395810064,300000.0,9418.703958100641,9418.703958100641
1090,16,HEFT,312226.27534497273,312226.27534497273,300000.0,12226.275344972732,12226.275344972732
1091,16,HEFT,319088.0816735344,315497.7698898397,300000.0,19088.08167353441,15497.769889839692
1092,16,HEFT,315164.93039255077,315164.93039255077,300000.0,15164.930392550828,15164.930392550828
1093,16,HEFT,318359.9535130322,318359.9535130322,300000.0,18359.953513032175,18359.953513032175
1094,16,HEFT,305280.41702929675,305280.41702929675,300000.0,5280.417029296688,5280.417029296688
1095,16,HEFT,307411.81340993807,306369.37699211645,300000.0,7411.813409938128,6369.376992116449
1096,16,HEFT,317316.1796981555,317316.1796981555,300000.0,17316.179698155494,17316.179698155494
1097,16,HEFT,314763.238118549,314763.238118549,300000.0,14763.238118548994,14763.238118548994
1098,16,HEFT,308032.2677897211,302245.32501875056,300000.0,8032.2677897210815,2245.3250187506196
1099,16,HEFT,316246.9623115549,313101.1235604854,300000.0,16246.962311554931,13101.123560485372
1100,16,HEFT,307163.00790041,306179.30406814744,300000.0,7163.0079004099825,6179.304068147438
1101,16,HEFT,313776.24330373673,313776.24330373673,300000.0,13776.243303736672,13776.243303736672
1102,16,HEFT,309644.30516005825,303953.3078908647,300000.0,9644.305160058311,3953.307890864671
1103,16,HEFT,312674.58698309236,312674.58698309236,300000.0,12674.58698309242,12674.58698309242
1104,16,HEFT,313346.6904542608,304371.5949326825,300000.0,13346.690454260795,4371.594932682521
1105,16,HEFT,307118.23364287603,302766.5338245845,300000.0,7118.233642876032,2766.5338245845637
1106,16,HEFT,313410.4572148484,313410.4572148484,300000.0,13410.457214848371,13410.457214848371
1107,16,HEFT,319081.4408137319,319081.4408137319,300000.0,19081.440813731868,19081.440813731868
1108,16,HEFT,322969.49293584283,315546.8665965599,300000.0,22969.492935842838,15546.866596559878
1109,16,HEFT,300832.7936945837,300747.51145349746,300000.0,832.7936945836992,747.5114534974564
1110,16,HEFT,322314.2215283867,317564.71853606205,300000.0,22314.221528386694,17564.71853606205
1111,16,HEFT,311574.38306793716,311574.38306793716,300000.0,11574.383067937159,11574.383067937159
1112,16,HEFT,315349.4024973155,315349.4024973155,300000.0,15349.402497315432,15349.402497315432
1113,16,HEFT,319599.35586904234,319599.35586904234,300000.0,19599.355869042338,19599.355869042338
1114,16,HEFT,312250.1041436519,312247.08949097357,300000.0,12250.104143651899,12247.089490973565
1115,16,HEFT,312751.4899324217,312751.4899324217,300000.0,12751.489932421711,12751.489932421711
1116,16,HEFT,307341.8745775519,307341.8745775519,300000.0,7341.8745775519055,7341.8745775519055
1117,16,HEFT,315959.22573226737,315959.22573226737,300000.0,15959.225732267429,15959.225732267429
1118,16,HEFT,308979.83217809873,308979.83217809873,300000.0,8979.832178098732,8979.832178098732
1119,16,HEFT,326748.78419153683,326748.78419153683,300000.0,26748.784191536837,26748.784191536837
1120,16,HEFT,308482.0494984897,303548.6296171409,300000.0,8482.049498489709,3548.6296171408612
1121,16,HEFT,328368.5671579158,328368.5671579158,300000.0,28368.567157915797,28368.567157915797
1122,16,HEFT,321837.535238342,321837.535238342,300000.0,21837.53523834201,21837.53523834201
1123,16,HEFT,305365.2406255108,305365.2406255108,300000.0,5365.240625510807,5365.240625510807
1124,16,HEFT,317832.8417321993,317832.8417321993,300000.0,17832.841732199304,17832.841732199304
1125,16,HEFT,307884.7596548044,305120.74940821854,300000.0,7884.759654804424,5120.749408218486
1126,16,HEFT,323337.2988896323,314874.41704239283,300000.0,23337.29888963228,14874.417042392772
1127,16,HEFT,323073.5390369371,323073.5390369371,300000.0,23073.53903693712,23073.53903693712
1128,16,HEFT,310106.11154605844,306299.6080739255,300000.0,10106.11154605844,6299.608073925483
1129,16,HEFT,316578.4447620574,316578.4447620574,300000.0,16578.444762057392,16578.444762057392
1130,16,HEFT,313629.18312004575,313629.18312004575,300000.0,13629.183120045813,13629.183120045813
1131,16,HEFT,314660.26793790807,314642.6945419826,300000.0,14660.267937908126,14642.694541982608
1132,16,HEFT,312490.2010301436,312490.2010301436,300000.0,12490.201030143597,12490.201030143597
1133,16,HEFT,316769.7128326604,314779.1909167458,300000.0,16769.712832660414,14779.190916745809
1134,16,HEFT,315441.36430947634,312423.7623679468,300000.0,15441.364309476341,12423.762367946794
1135,16,HEFT,302382.0391291678,302382.0391291678,300000.0,2382.039129167795,2382.039129167795
1136,16,HEFT,317634.73590501724,312002.84625739977,300000.0,17634.735905017238,12002.846257399768
1137,16,HEFT,316648.7322499593,312339.570510356,300000.0,16648.732249959314,12339.570510355989
1138,16,HEFT,312801.131195185,312801.131195185,300000.0,12801.131195185008,12801.131195185008
1139,16,HEFT,303416.37879673834,303416.37879673834,300000.0,3416.37879673834,3416.37879673834
1140,16,HEFT,305434.3559166957,305434.3559166957,300000.0,5434.355916695728,5434.355916695728
1141,16,HEFT,309592.8002982964,309592.8002982964,300000.0,9592.800298296379,9592.800298296379
1142,16,HEFT,308401.59352168033,308401.59352168033,300000.0,8401.593521680275,8401.593521680275
1143,16,HEFT,306667.0638762652,300238.8702961273,300000.0,6667.063876265194,238.8702961273375
1144,16,HEFT,321119.8701170153,321119.8701170153,300000.0,21119.870117015264,21119.870117015264
1145,16,HEFT,308741.368577297,302277.33367367444,300000.0,8741.36857729702,2277.3336736743804
1146,16,HEFT,322861.75136045605,321207.3769541126,300000.0,22861.751360456048,21207.37695411261
1147,16,HEFT,320734.2862334512,320734.2862334512,300000.0,20734.286233451217,20734.286233451217
1148,16,HEFT,316175.74919706123,316175.74919706123,300000.0,16175.749197061234,16175.749197061234
1149,16,HEFT,322725.4221336974,322725.4221336974,300000.0,22725.422133697368,22725.422133697368
1150,16,HEFT,311374.74241781177,311374.74241781177,300000.0,11374.742417811765,11374.742417811765
1151,16,HEFT,311805.44759925595,311805.44759925595,300000.0,11805.447599255946,11805.447599255946
1152,16,HEFT,310536.0065857168,304758.0655654049,300000.0,10536.006585716794,4758.065565404948
1153,16,HEFT,312790.35463698825,311669.1342612997,300000.0,12790.354636988252,11669.134261299741
1154,16,HEFT,304650.67671112693,299691.53260671673,300000.0,4650.676711126929,-308.46739328332484
1155,16,HEFT,310260.68234268256,304107.5001600129,300000.0,10260.68234268256,4107.500160012918
1156,16,HEFT,309400.6320969832,305610.8175478996,300000.0,9400.6320969832,5610.817547899613
1157,16,HEFT,313987.13728100684,313987.13728100684,300000.0,13987.13728100684,13987.13728100684
1158,16,HEFT,302763.5832741097,301541.29225358396,300000.0,2763.583274109755,1541.292253583961
1159,16,HEFT,312652.55832573865,304223.8950256307,300000.0,12652.558325738644,4223.895025630714
